"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 09:35:57 GMT 2022","Thu Jun 02 09:35:58 GMT 2022","443","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST@MAIL.RU = true","TEST@MAIL.RU = true",""
"passed","Thu Jun 02 09:35:59 GMT 2022","Thu Jun 02 09:36:00 GMT 2022","350","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test@test. = format_not_valid","test@test. = format_not_valid",""
"passed","Thu Jun 02 09:36:00 GMT 2022","Thu Jun 02 09:36:01 GMT 2022","362","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test@test = true","test@test = true",""
"passed","Thu Jun 02 09:36:00 GMT 2022","Thu Jun 02 09:36:00 GMT 2022","272","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test.ru = format_not_valid","test.ru = format_not_valid",""
"passed","Thu Jun 02 09:35:58 GMT 2022","Thu Jun 02 09:35:58 GMT 2022","454","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST123@MAIL.RU = true","TEST123@MAIL.RU = true",""
"passed","Thu Jun 02 09:35:57 GMT 2022","Thu Jun 02 09:35:57 GMT 2022","778","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","Проверим корректность возвращаемых данных с правильным email и access_key","Проверим корректность возвращаемых данных с правильным email и access_key",""
"passed","Thu Jun 02 09:35:59 GMT 2022","Thu Jun 02 09:35:59 GMT 2022","284","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST..Kseniya@MAIL.RU = format_not_valid","TEST..Kseniya@MAIL.RU = format_not_valid",""
"passed","Thu Jun 02 09:35:58 GMT 2022","Thu Jun 02 09:35:59 GMT 2022","336","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST%20Test@MAIL.RU = true","TEST%20Test@MAIL.RU = true",""
"passed","Thu Jun 02 09:36:00 GMT 2022","Thu Jun 02 09:36:00 GMT 2022","279","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","@test.ru = format_not_valid","@test.ru = format_not_valid",""
"passed","Thu Jun 02 09:36:01 GMT 2022","Thu Jun 02 09:36:01 GMT 2022","110","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","Проверим права доступа к точке без access_key","Проверим права доступа к точке без access_key",""
"passed","Thu Jun 02 09:35:59 GMT 2022","Thu Jun 02 09:35:59 GMT 2022","470","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TE-_~!+=ST@MAIL.RU = true","TE-_~!+=ST@MAIL.RU = true",""
