"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 02 08:45:47 GMT 2022","Thu Jun 02 08:45:47 GMT 2022","134","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TE-_~!+=ST@MAIL.RU = true","TE-_~!+=ST@MAIL.RU = true",""
"failed","Thu Jun 02 08:45:47 GMT 2022","Thu Jun 02 08:45:47 GMT 2022","137","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST%20Test@MAIL.RU = true","TEST%20Test@MAIL.RU = true",""
"failed","Thu Jun 02 08:45:48 GMT 2022","Thu Jun 02 08:45:48 GMT 2022","137","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test.ru = format_not_valid","test.ru = format_not_valid",""
"failed","Thu Jun 02 08:45:47 GMT 2022","Thu Jun 02 08:45:47 GMT 2022","138","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST@MAIL.RU = true","TEST@MAIL.RU = true",""
"passed","Thu Jun 02 08:45:48 GMT 2022","Thu Jun 02 08:45:48 GMT 2022","130","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","Проверим права доступа к точке без access_key","Проверим права доступа к точке без access_key",""
"failed","Thu Jun 02 08:45:48 GMT 2022","Thu Jun 02 08:45:48 GMT 2022","137","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test@test. = format_not_valid","test@test. = format_not_valid",""
"failed","Thu Jun 02 08:45:48 GMT 2022","Thu Jun 02 08:45:48 GMT 2022","137","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test@test = true","test@test = true",""
"failed","Thu Jun 02 08:45:48 GMT 2022","Thu Jun 02 08:45:48 GMT 2022","135","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","@test.ru = format_not_valid","@test.ru = format_not_valid",""
"failed","Thu Jun 02 08:45:47 GMT 2022","Thu Jun 02 08:45:47 GMT 2022","170","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","Проверим корректность возвращаемых данных с правильным email и access_key","Проверим корректность возвращаемых данных с правильным email и access_key",""
"failed","Thu Jun 02 08:45:47 GMT 2022","Thu Jun 02 08:45:48 GMT 2022","204","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST..Kseniya@MAIL.RU = format_not_valid","TEST..Kseniya@MAIL.RU = format_not_valid",""
"failed","Thu Jun 02 08:45:47 GMT 2022","Thu Jun 02 08:45:47 GMT 2022","137","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST123@MAIL.RU = true","TEST123@MAIL.RU = true",""
